chain-5-4 2
chain-10-9 5
chain-12-11 6
chain-14-13 7
chain-16-15 8
chain-18-17 9
chain-20-19 10
chain-25-24 12
chain-30-29 15
chain-35-34 17
chain-40-39 20
chain-50-49 25
chain-60-59 30
chain-70-69 35
chain-80-79 40
chain-90-89 45
chain-100-99 50
chain-200-199 100
ring-5-5 3
ring-10-10 5
ring-12-12 6
ring-14-14 7
ring-16-16 8
ring-18-18 9
ring-20-20 10
ring-25-25 13
ring-30-30 15
ring-35-35 18
ring-40-40 20
ring-45-45 23
ring-50-50 25
ring-60-60 30
ring-70-70 35
ring-80-80 40
ring-90-90 45
ring-100-100 50
ring-200-200 100
tree-5-4 1
tree-10-9 3
tree-12-11 5
tree-14-13 6
tree-16-15 7
tree-18-17 6
tree-20-19 9
tree-25-24 9
tree-30-29 9
tree-35-34 13
tree-40-39 16
tree-45-44 17
tree-50-49 20
tree-60-59 25
tree-70-69 27
tree-80-79 31
tree-90-89 34
tree-100-99 41
tree-200-199 81
rand-5-7 3
rand-10-15 5
rand-10-20 6
rand-12-18 6
rand-12-24 7
rand-12-36 7
rand-15-20 8
rand-15-30 9
rand-15-45 9
rand-20-30 11
rand-20-40 12
rand-20-60 12
rand-25-40 13
rand-25-50 14
rand-25-100 17
rand-30-45 15
rand-30-60 16
rand-30-120 20
rand-35-50 18
rand-35-70 19
rand-35-140 24
rand-40-60 19
rand-40-80 21
rand-40-200 29
rand-45-65 22
rand-45-90 23
rand-45-225 32
rand-50-75 21
rand-50-100 27
rand-50-300 38
rand-55-80 26
rand-55-110 29
rand-55-330 41
rand-60-90 27
rand-60-120 32
rand-60-360 45
rand-65-95 30
rand-65-130 34
rand-65-390 47
rand-70-105 34
rand-70-140 37
rand-70-420 52
rand-75-110 36
rand-75-150 41
rand-75-450 54
rand-80-120 39
rand-80-160 40
rand-80-480 58
rand-90-135 44
rand-90-180 48
rand-90-540 66
rand-100-150 49
rand-100-200 54
rand-100-600 72
rand-125-185 59
rand-125-250 66
rand-125-750 89
rand-150-225 69
rand-150-300 79
rand-150-900 107
rand-175-260 82
rand-175-350 95
rand-175-1050 126
rand-200-300 93
rand-200-400 108
rand-200-1200 145
grid-6-7 3
grid-8-10 4
grid-9-12 4
grid-10-13 5
grid-12-17 6
grid-15-22 7
grid-16-24 8
grid-18-27 9
grid-20-31 10
grid-24-38 12
grid-25-40 12
grid-27-42 13
grid-30-49 15
grid-32-52 16
grid-35-58 17
grid-36-59 18
grid-36-60 18
grid-40-67 20
grid-42-71 21
grid-45-76 22
grid-48-82 24
grid-49-84 24
grid-50-85 25
grid-54-93 27
grid-56-97 28
grid-60-104 30
grid-63-110 31
grid-64-112 32
grid-66-115 33
grid-70-123 35
grid-72-127 36
grid-77-136 38
grid-80-142 40
grid-81-144 40
grid-84-149 42
grid-88-157 44
grid-90-161 45
grid-91-162 45
grid-96-172 48
grid-99-178 49
grid-100-180 50
grid-121-220 60
grid-144-264 72
grid-169-312 84
grid-196-364 98
grid-225-420 112
cliqueset-25-89 20
cliqueset-25-132 20
cliqueset-36-111 30
cliqueset-36-167 30
cliqueset-36-440 30
cliqueset-49-182 42
cliqueset-49-246 42
cliqueset-49-766 42
cliqueset-64-279 56
cliqueset-64-329 56
cliqueset-64-1265 56
cliqueset-81-389 72
cliqueset-81-500 72
cliqueset-81-2095 72
cliqueset-100-532 90
cliqueset-100-666 90
cliqueset-100-2719 90
